,Region,IndustrySector,Sex,Ethnicity,Race,VeteranStatus,SizeOfFirm,FACTORS_P,FACTORS_P_LABEL,NumberOfRespondents,FIRMPDEMP_PCT,FIRMPDEMP_PCT_F,TotalRevenueOfFirmsInCategory,RCPPDEMP_PCT,RCPPDEMP_PCT_F,NumberOfEmployeesInCategory,EMP_PCT,EMP_PCT_F,AnnualPayroll,PAYANN_PCT,PAYANN_PCT_F,FIRMPDEMP_PCT_S,FIRMPDEMP_PCT_S_F,RCPPDEMP_PCT_S,RCPPDEMP_PCT_S_F,EMP_PCT_S,EMP_PCT_S_F,PAYANN_PCT_S,PAYANN_PCT_S_F
918,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T4E36R06,Robotics: Laws and regulations,486,0.3,,1585325,0.2,,12736,0.2,,488390,0.3,,0.1,,0.2,,0.1,,0.3,
919,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T4E36R07,Robotics: Concerns regarding safety and security (physical security and/or cyber security),642,0.4,,2171633,0.3,,17543,0.3,,874861,0.5,,0.1,,0.3,,0.1,,0.3,
920,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T4E36R08,Robotics: Lacked access to capital,1196,0.7,,3513593,0.4,,27594,0.5,,834129,0.5,,0.1,,0.1,,0.1,,0.1,
921,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T4E36R09,Robotics: Technology not applicable to this business,79457,49.1,,418338032,50.6,,2691145,49.6,,91937974,50.6,,0.7,,3.0,,1.2,,1.4,
922,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T4E36R10,Robotics: No factors adversely affected the adoption of this technology,70748,43.7,,352944153,42.7,,2377072,43.8,,78616842,43.3,,0.8,,2.5,,1.1,,1.1,
923,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T4E36R99,Robotics: Total Reporting,161798,100.0,,827310996,100.0,,5425692,100.0,,181765430,100.0,,0.0,,0.0,,0.0,,0.0,
924,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R01,Specialized Equipment: Technology was too expensive,9788,6.0,,38375663,4.6,,312741,5.8,,8610195,4.7,,0.4,,0.5,,1.7,,1.2,
925,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R02,Specialized Equipment: Technology was not mature,1033,0.6,,4346413,0.5,,37130,0.7,,935692,0.5,,0.1,,0.3,,0.2,,0.1,
926,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R03,Specialized Equipment: Lacked access to required data,480,0.3,,1933768,0.2,,14024,0.3,,391655,0.2,,0.1,,0.1,,0.2,,0.2,
927,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R04,Specialized Equipment: Required data not reliable,402,0.2,,1202214,0.1,,13546,0.2,,360308,0.2,,0.1,,0.1,,0.1,,0.1,
928,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R05,Specialized Equipment: Lacked access to required human capital and talent,1190,0.7,,3023655,0.4,,39264,0.7,,974283,0.5,,0.1,,0.1,,0.3,,0.2,
929,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R06,Specialized Equipment: Laws and regulations,706,0.4,,2562748,0.3,,17155,0.3,,666357,0.4,,0.1,,0.1,,0.1,,0.3,
930,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R07,Specialized Equipment: Concerns regarding safety and security (physical security and/or cyber security),879,0.5,,5273400,0.6,,32472,0.6,,1319994,0.7,,0.1,,0.3,,0.3,,0.3,
931,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R08,Specialized Equipment: Lacked access to capital,2100,1.3,,9071811,1.1,,51350,0.9,,1926144,1.1,,0.1,,0.5,,0.3,,0.3,
932,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R09,Specialized Equipment: Technology not applicable to this business,67962,41.9,,344435706,41.6,,2268929,41.7,,76203377,41.8,,0.8,,2.6,,1.2,,1.7,
933,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R10,Specialized Equipment: No factors adversely affected the adoption of this technology,81728,50.4,,432252498,52.2,,2772408,51.0,,94484070,51.9,,1.0,,2.7,,2.1,,2.0,
934,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 employees or more,T5E36R99,Specialized Equipment: Total Reporting,162063,100.0,,828731330,100.0,,5437502,100.0,,182121752,100.0,,0.0,,0.0,,0.0,,0.0,
935,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R02,Artificial Intelligence: Technology was not mature,263,1.7,,31376,0.6,,0,0.0,,5070,0.9,,0.6,,0.3,,0.0,,0.4,
936,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R03,Artificial Intelligence: Lacked access to required data,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
937,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R04,Artificial Intelligence: Required data not reliable,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
938,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R05,Artificial Intelligence: Lacked access to required human capital and talent,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
939,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R06,Artificial Intelligence: Laws and regulations,175,1.1,,33537,0.6,,0,0.0,,6554,1.2,,0.4,,0.3,,0.0,,0.8,
940,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R07,Artificial Intelligence: Concerns regarding safety and security (physical security and/or cyber security),0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
941,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R08,Artificial Intelligence: Lacked access to capital,357,2.3,,46503,0.9,,0,0.0,,5987,1.1,,0.6,,0.3,,0.0,,0.5,
942,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R09,Artificial Intelligence: Technology not applicable to this business,7961,50.2,,2618102,49.1,,0,0.0,,275057,48.5,,2.4,,7.5,,0.0,,3.0,
943,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R10,Artificial Intelligence: No factors adversely affected the adoption of this technology,6520,41.1,,2454879,46.0,,0,0.0,,257516,45.4,,3.2,,7.6,,0.0,,3.0,
944,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R99,Artificial Intelligence: Total Reporting,15850,100.0,,5337159,100.0,,0,0.0,,567440,100.0,,0.0,,0.0,,0.0,,0.0,
945,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R01,Cloud-Based: Technology was too expensive,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
946,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R02,Cloud-Based: Technology was not mature,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
948,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R04,Cloud-Based: Required data not reliable,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
949,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R05,Cloud-Based: Lacked access to required human capital and talent,136,0.9,,17552,0.3,,0,0.0,,1967,0.3,,0.5,,0.2,,0.0,,0.2,
950,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R06,Cloud-Based: Laws and regulations,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
951,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R07,Cloud-Based: Concerns regarding safety and security (physical security and/or cyber security),291,1.8,,51242,1.0,,0,0.0,,7818,1.4,,0.7,,0.4,,0.0,,0.6,
952,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R08,Cloud-Based: Lacked access to capital,345,2.2,,41282,0.8,,0,0.0,,2630,0.5,,0.4,,0.2,,0.0,,0.2,
955,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T4E36R07,Robotics: Concerns regarding safety and security (physical security and/or cyber security),0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
956,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T4E36R08,Robotics: Lacked access to capital,285,1.8,,33539,0.6,,0,0.0,,4272,0.8,,0.6,,0.3,,0.0,,0.4,
957,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T4E36R09,Robotics: Technology not applicable to this business,8258,52.4,,2703030,50.8,,0,0.0,,281394,50.1,,2.8,,7.2,,0.0,,3.4,
958,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T4E36R10,Robotics: No factors adversely affected the adoption of this technology,6309,40.0,,2395925,45.0,,0,0.0,,254442,45.3,,2.9,,7.3,,0.0,,3.1,
959,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T4E36R99,Robotics: Total Reporting,15766,100.0,,5319956,100.0,,0,0.0,,562163,100.0,,0.0,,0.0,,0.0,,0.0,
960,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R01,Specialized Equipment: Technology was too expensive,1093,6.9,,207722,3.9,,0,0.0,,22566,4.0,,1.3,,1.1,,0.0,,0.8,
961,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R02,Specialized Equipment: Technology was not mature,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
964,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R05,Specialized Equipment: Lacked access to required human capital and talent,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
965,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R06,Specialized Equipment: Laws and regulations,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
966,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R07,Specialized Equipment: Concerns regarding safety and security (physical security and/or cyber security),91,0.6,,21817,0.4,,0,0.0,,1939,0.3,,0.3,,0.2,,0.0,,0.2,
967,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R08,Specialized Equipment: Lacked access to capital,261,1.7,,26036,0.5,,0,0.0,,1336,0.2,,0.4,,0.2,,0.0,,0.1,
968,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R09,Specialized Equipment: Technology not applicable to this business,7356,46.5,,2516151,47.2,,0,0.0,,249122,44.2,,2.7,,7.3,,0.0,,2.9,
969,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R10,Specialized Equipment: No factors adversely affected the adoption of this technology,7172,45.4,,2567137,48.2,,0,0.0,,288407,51.2,,3.5,,7.6,,0.0,,3.1,
970,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T5E36R99,Specialized Equipment: Total Reporting,15805,100.0,,5325781,100.0,,0,0.0,,563331,100.0,,0.0,,0.0,,0.0,,0.0,
971,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R09,Cloud-Based: Technology not applicable to this business,6743,42.7,,1618345,30.4,,0,0.0,,226483,40.2,,2.4,,4.5,,0.0,,2.4,
972,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R10,Cloud-Based: No factors adversely affected the adoption of this technology,7330,46.4,,3156920,59.3,,0,0.0,,300438,53.3,,3.1,,8.8,,0.0,,2.7,
973,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T2E36R99,Cloud-Based: Total Reporting,15805,100.0,,5325781,100.0,,0,0.0,,563331,100.0,,0.0,,0.0,,0.0,,0.0,
974,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R01,Specialized Software: Technology was too expensive,1169,7.4,,228012,4.3,,0,0.0,,22208,3.9,,1.3,,1.4,,0.0,,1.0,
976,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R03,Specialized Software: Lacked access to required data,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
977,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R04,Specialized Software: Required data not reliable,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
978,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R05,Specialized Software: Lacked access to required human capital and talent,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
979,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R06,Specialized Software: Laws and regulations,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
980,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R07,Specialized Software: Concerns regarding safety and security (physical security and/or cyber security),0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
981,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R08,Specialized Software: Lacked access to capital,335,2.1,,43713,0.8,,0,0.0,,4355,0.8,,0.6,,0.2,,0.0,,0.3,
982,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R09,Specialized Software: Technology not applicable to this business,6751,42.9,,1974479,37.2,,0,0.0,,222757,39.6,,2.7,,8.0,,0.0,,3.2,
983,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R10,Specialized Software: No factors adversely affected the adoption of this technology,7570,48.1,,3058902,57.6,,0,0.0,,310606,55.2,,2.9,,9.0,,0.0,,3.7,
984,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T3E36R99,Specialized Software: Total Reporting,15723,100.0,,5311039,100.0,,0,0.0,,562911,100.0,,0.0,,0.0,,0.0,,0.0,
985,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T4E36R01,Robotics: Technology was too expensive,1065,6.8,,217801,4.1,,0,0.0,,24033,4.3,,1.6,,1.8,,0.0,,1.5,
986,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T4E36R02,Robotics: Technology was not mature,170,1.1,,21008,0.4,,0,0.0,,3481,0.6,,0.4,,0.1,,0.0,,0.3,
989,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T3E36R09,Specialized Software: Technology not applicable to this business,85341,43.5,,42118125,39.1,,254844,41.7,,8692228,40.9,,0.8,,0.9,,0.7,,0.8,
990,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T3E36R10,Specialized Software: No factors adversely affected the adoption of this technology,88374,45.1,,52568659,48.9,,282595,46.3,,10242797,48.2,,0.9,,1.5,,1.0,,0.9,
991,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T3E36R99,Specialized Software: Total Reporting,196062,100.0,,107597004,100.0,,610413,100.0,,21263499,100.0,,0.0,,0.0,,0.0,,0.0,
992,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R01,Robotics: Technology was too expensive,15113,7.7,,7976770,7.4,,49745,8.2,,1386976,6.5,,0.3,,0.6,,0.6,,0.6,
993,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R02,Robotics: Technology was not mature,1072,0.5,,829561,0.8,,3555,0.6,,162218,0.8,,0.1,,0.3,,0.2,,0.4,
994,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R03,Robotics: Lacked access to required data,452,0.2,,318027,0.3,,1801,0.3,,63536,0.3,,0.1,,0.1,,0.1,,0.1,
995,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R04,Robotics: Required data not reliable,382,0.2,,183753,0.2,,1546,0.3,,37851,0.2,,0.1,,0.1,,0.1,,0.1,
996,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R05,Robotics: Lacked access to required human capital and talent,848,0.4,,524090,0.5,,3370,0.6,,111791,0.5,,0.1,,0.2,,0.2,,0.2,
997,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R06,Robotics: Laws and regulations,610,0.3,,358886,0.3,,2707,0.4,,116302,0.5,,0.1,,0.1,,0.2,,0.2,
998,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R07,Robotics: Concerns regarding safety and security (physical security and/or cyber security),1019,0.5,,638329,0.6,,3041,0.5,,129300,0.6,,0.1,,0.2,,0.1,,0.1,
999,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R08,Robotics: Lacked access to capital,1737,0.9,,907788,0.8,,5913,1.0,,163423,0.8,,0.1,,0.2,,0.1,,0.1,
1000,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R09,Robotics: Technology not applicable to this business,105837,54.0,,54720272,50.8,,321896,52.8,,11380433,53.6,,0.9,,1.2,,0.9,,0.9,
1001,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R10,Robotics: No factors adversely affected the adoption of this technology,71964,36.7,,43044817,40.0,,228323,37.4,,8110032,38.2,,0.9,,1.4,,1.1,,0.9,
1002,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T4E36R99,Robotics: Total Reporting,196083,100.0,,107646433,100.0,,609827,100.0,,21221289,100.0,,0.0,,0.0,,0.0,,0.0,
1003,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R01,Specialized Equipment: Technology was too expensive,15530,7.9,,8459601,7.8,,51051,8.3,,1440348,6.7,,0.3,,0.7,,0.6,,0.6,
1004,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R02,Specialized Equipment: Technology was not mature,746,0.4,,576155,0.5,,2926,0.5,,129358,0.6,,0.1,,0.2,,0.1,,0.2,
1005,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R03,Specialized Equipment: Lacked access to required data,598,0.3,,406662,0.4,,2496,0.4,,76941,0.4,,0.1,,0.2,,0.2,,0.2,
1006,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R04,Specialized Equipment: Required data not reliable,414,0.2,,240936,0.2,,1481,0.2,,41731,0.2,,0.1,,0.1,,0.1,,0.1,
1007,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R05,Specialized Equipment: Lacked access to required human capital and talent,1194,0.6,,746768,0.7,,3992,0.7,,152068,0.7,,0.1,,0.2,,0.1,,0.2,
1008,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R06,Specialized Equipment: Laws and regulations,788,0.4,,440258,0.4,,3054,0.5,,130347,0.6,,0.1,,0.2,,0.2,,0.3,
1009,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R07,Specialized Equipment: Concerns regarding safety and security (physical security and/or cyber security),1154,0.6,,747109,0.7,,5072,0.8,,189704,0.9,,0.1,,0.2,,0.2,,0.2,
1010,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R08,Specialized Equipment: Lacked access to capital,2958,1.5,,1436331,1.3,,9988,1.6,,292160,1.4,,0.2,,0.2,,0.3,,0.2,
1011,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R09,Specialized Equipment: Technology not applicable to this business,93967,47.7,,48018931,44.4,,279654,45.6,,9757798,45.7,,0.9,,0.9,,0.8,,0.8,
1012,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R10,Specialized Equipment: No factors adversely affected the adoption of this technology,82179,41.7,,49110799,45.4,,264476,43.1,,9546631,44.7,,0.9,,1.0,,0.9,,0.8,
1013,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T5E36R99,Specialized Equipment: Total Reporting,197007,100.0,,108188000,100.0,,613170,100.0,,21344618,100.0,,0.0,,0.0,,0.0,,0.0,
1014,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R01,Artificial Intelligence: Technology was too expensive,15766,8.0,,7951457,7.4,,50388,8.2,,1458003,6.8,,0.4,,0.6,,0.6,,0.5,
1015,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R02,Artificial Intelligence: Technology was not mature,1536,0.8,,938941,0.9,,4783,0.8,,201539,0.9,,0.1,,0.2,,0.2,,0.3,
1016,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R03,Artificial Intelligence: Lacked access to required data,767,0.4,,399192,0.4,,2286,0.4,,73363,0.3,,0.1,,0.2,,0.2,,0.2,
1017,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R04,Artificial Intelligence: Required data not reliable,494,0.3,,345370,0.3,,1634,0.3,,80059,0.4,,0.1,,0.1,,0.1,,0.1,
1018,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R05,Artificial Intelligence: Lacked access to required human capital and talent,1366,0.7,,787325,0.7,,3980,0.6,,168573,0.8,,0.1,,0.2,,0.1,,0.2,
1019,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R06,Artificial Intelligence: Laws and regulations,884,0.4,,382843,0.4,,2947,0.5,,119684,0.6,,0.1,,0.1,,0.1,,0.2,
1020,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R07,Artificial Intelligence: Concerns regarding safety and security (physical security and/or cyber security),1329,0.7,,893127,0.8,,4609,0.8,,148899,0.7,,0.1,,0.2,,0.1,,0.1,
1021,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R08,Artificial Intelligence: Lacked access to capital,2042,1.0,,1103565,1.0,,6706,1.1,,211862,1.0,,0.2,,0.2,,0.2,,0.2,
1022,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R09,Artificial Intelligence: Technology not applicable to this business,103300,52.5,,53828799,49.8,,313360,51.2,,11053687,51.8,,0.9,,1.2,,0.8,,1.0,
1023,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R10,Artificial Intelligence: No factors adversely affected the adoption of this technology,74317,37.7,,44116318,40.8,,238887,39.0,,8419907,39.5,,0.9,,1.4,,0.9,,0.9,
1024,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T1E36R99,Artificial Intelligence: Total Reporting,196881,100.0,,108101653,100.0,,612613,100.0,,21332955,100.0,,0.0,,0.0,,0.0,,0.0,
1025,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R01,Cloud-Based: Technology was too expensive,15262,7.8,,8483039,7.9,,50082,8.2,,1507601,7.1,,0.5,,0.8,,0.6,,0.6,
1026,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R02,Cloud-Based: Technology was not mature,930,0.5,,708303,0.7,,3031,0.5,,124904,0.6,,0.1,,0.2,,0.1,,0.2,
1027,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,T1E36R01,Artificial Intelligence: Technology was too expensive,1202,7.6,,237968,4.5,,0,0.0,,26922,4.7,,1.6,,1.7,,0.0,,1.5,
1028,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R03,Cloud-Based: Lacked access to required data,777,0.4,,412298,0.4,,2374,0.4,,73263,0.3,,0.1,,0.1,,0.1,,0.1,
1029,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R04,Cloud-Based: Required data not reliable,532,0.3,,354915,0.3,,1565,0.3,,59700,0.3,,0.1,,0.1,,0.1,,0.1,
1030,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R05,Cloud-Based: Lacked access to required human capital and talent,1368,0.7,,957890,0.9,,5348,0.9,,233999,1.1,,0.2,,0.3,,0.2,,0.3,
1031,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R06,Cloud-Based: Laws and regulations,1054,0.5,,561534,0.5,,3798,0.6,,166303,0.8,,0.1,,0.1,,0.1,,0.2,
1032,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R07,Cloud-Based: Concerns regarding safety and security (physical security and/or cyber security),3348,1.7,,2928054,2.7,,11444,1.9,,482978,2.3,,0.2,,0.4,,0.2,,0.3,
1033,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R08,Cloud-Based: Lacked access to capital,2338,1.2,,1215056,1.1,,8117,1.3,,249814,1.2,,0.2,,0.2,,0.3,,0.2,
1034,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R09,Cloud-Based: Technology not applicable to this business,86755,44.2,,42722578,39.7,,258456,42.3,,8762778,41.2,,0.9,,1.0,,0.8,,0.9,
1035,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R10,Cloud-Based: No factors adversely affected the adoption of this technology,86977,44.4,,51531337,47.9,,279700,45.8,,10115581,47.6,,0.8,,1.2,,0.9,,0.8,
1036,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T2E36R99,Cloud-Based: Total Reporting,196095,100.0,,107675916,100.0,,610724,100.0,,21258747,100.0,,0.0,,0.0,,0.0,,0.0,
1037,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T3E36R01,Specialized Software: Technology was too expensive,16410,8.4,,8868352,8.2,,53669,8.8,,1591755,7.5,,0.4,,0.6,,0.5,,0.6,
1038,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T3E36R02,Specialized Software: Technology was not mature,940,0.5,,654093,0.6,,2628,0.4,,92341,0.4,,0.1,,0.2,,0.1,,0.1,
1039,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T3E36R03,Specialized Software: Lacked access to required data,773,0.4,,668251,0.6,,3084,0.5,,102022,0.5,,0.1,,0.3,,0.2,,0.2,
1040,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 9 employees,T3E36R04,Specialized Software: Required data not reliable,424,0.2,,312656,0.3,,1726,0.3,,69290,0.3,,0.0,,0.1,,0.1,,0.1,
